DOY,MON,DY,TMAX,#YRS,TMIN,#YRS,PRECIP,#YRS,SD MAX,SD MIN
172,6,20,84.7,26,53.3,26,0.003,26,8.07,3.728
173,6,21,85,26,53.4,26,0.002,26,7.924,3.686
174,6,22,85.2,26,53.5,26,0.002,26,7.792,3.632
175,6,23,85.5,27,53.6,27,0.002,26,7.798,3.589
176,6,24,85.6,27,53.7,26,0.002,27,7.793,3.563
177,6,25,85.7,26,53.7,26,0.002,27,7.779,3.586
178,6,26,85.9,27,53.8,26,0.002,27,7.746,3.614
179,6,27,86.1,27,53.9,27,0.002,27,7.766,3.621
180,6,28,86.3,26,54.1,25,0.002,27,7.818,3.723
181,6,29,86.5,27,54.2,27,0.002,27,7.811,3.796
182,6,30,86.7,27,54.3,27,0.001,27,7.718,3.773
183,7,1,86.9,27,54.4,27,0.001,27,7.737,3.786
184,7,2,87.1,27,54.5,27,0.001,27,7.728,3.786
185,7,3,87.1,27,54.6,27,0.001,27,7.772,3.803
186,7,4,87.2,27,54.6,27,0.001,27,7.76,3.805
187,7,5,87.3,27,54.7,27,0.001,27,7.632,3.803
188,7,6,87.4,26,54.8,26,0.001,27,7.499,3.753
189,7,7,87.4,27,54.9,27,0.001,27,7.44,3.741
190,7,8,87.5,27,54.9,27,0.001,27,7.484,3.77
191,7,9,87.6,27,55,27,0.001,27,7.504,3.792
192,7,10,87.7,26,55.1,26,0.001,27,7.523,3.763
193,7,11,87.7,26,55.2,26,0.001,27,7.464,3.744
194,7,12,87.7,27,55.2,26,0.001,27,7.443,3.705
195,7,13,87.7,27,55.2,26,0.001,27,7.374,3.694
196,7,14,87.8,27,55.2,27,0.001,27,7.33,3.73
197,7,15,87.8,27,55.2,27,0,27,7.289,3.743
198,7,16,87.8,27,55.2,26,0,27,7.176,3.717
199,7,17,87.8,26,55.2,25,0,27,7.115,3.728
200,7,18,87.8,26,55.2,26,0,27,7.13,3.711
201,7,19,87.9,26,55.3,25,0.001,27,7.089,3.709
202,7,20,87.9,26,55.3,26,0.001,27,7.092,3.687
203,7,21,87.9,27,55.3,27,0.001,27,7.084,3.698
204,7,22,87.9,27,55.3,27,0.001,27,7.071,3.676
205,7,23,87.9,27,55.4,27,0.001,27,7.158,3.64
206,7,24,87.9,26,55.4,27,0.001,27,7.213,3.625
207,7,25,87.9,27,55.5,27,0.001,27,7.223,3.587
208,7,26,88,26,55.4,26,0.001,27,7.215,3.567
209,7,27,88.1,27,55.4,27,0.001,27,7.188,3.504
210,7,28,88,26,55.4,26,0.001,27,7.155,3.415
211,7,29,87.9,27,55.4,26,0.001,27,7.162,3.44
212,7,30,87.9,26,55.4,26,0.001,27,7.101,3.432
213,7,31,87.8,26,55.4,26,0.001,27,7.129,3.43
214,8,1,87.8,30,55.4,30,0.001,30,7.127,3.383
215,8,2,87.8,30,55.4,30,0.001,30,7.104,3.342
216,8,3,87.8,30,55.4,30,0.001,30,7.137,3.28
217,8,4,87.7,30,55.3,30,0.001,30,7.127,3.344
218,8,5,87.7,29,55.3,29,0.001,30,7.1,3.326
219,8,6,87.6,29,55.3,29,0.001,30,7.033,3.295
220,8,7,87.5,30,55.2,30,0.001,30,6.975,3.281
221,8,8,87.4,30,55.2,30,0.001,30,6.877,3.252
222,8,9,87.4,30,55.2,29,0.001,30,6.862,3.24
223,8,10,87.4,30,55.2,30,0.001,30,6.775,3.259
224,8,11,87.4,30,55.1,30,0.001,30,6.767,3.255
225,8,12,87.4,30,55.1,30,0.001,30,6.812,3.243
226,8,13,87.5,29,55.1,28,0.001,30,6.838,3.216
227,8,14,87.6,30,55.1,30,0.001,30,6.914,3.214
228,8,15,87.7,30,55.1,30,0.001,30,6.92,3.222
229,8,16,87.6,30,55.1,30,0.001,30,6.96,3.246
230,8,17,87.5,30,55.1,30,0.001,30,6.94,3.271
231,8,18,87.5,30,55.1,30,0,30,6.931,3.287
232,8,19,87.6,30,55.1,30,0.001,30,6.981,3.272
233,8,20,87.6,30,55.1,30,0.001,30,7.004,3.288
234,8,21,87.7,30,55.1,30,0.001,30,6.916,3.308
235,8,22,87.6,30,55,29,0.001,30,6.895,3.346
236,8,23,87.6,30,55,29,0.001,30,6.866,3.38
237,8,24,87.6,30,54.9,30,0.001,29,6.9,3.436
238,8,25,87.5,30,54.9,30,0.001,29,6.967,3.449
239,8,26,87.5,29,54.8,29,0.001,30,7.045,3.477
240,8,27,87.3,30,54.7,30,0.001,30,7.093,3.481
241,8,28,87.2,29,54.6,30,0.001,30,7.059,3.503
242,8,29,87.1,30,54.5,30,0.001,30,7.011,3.513
243,8,30,87,30,54.5,30,0.001,30,7.035,3.56
244,8,31,87,30,54.4,29,0.001,30,7.07,3.558
245,9,1,86.8,29,54.4,28,0.001,29,7.071,3.591
246,9,2,86.6,29,54.4,29,0.001,29,7.076,3.538
247,9,3,86.6,29,54.3,29,0.002,29,7.113,3.541
248,9,4,86.5,29,54.2,29,0.002,29,7.181,3.6
249,9,5,86.6,29,54.2,29,0.002,29,7.323,3.614
250,9,6,86.5,29,54.1,29,0.002,29,7.414,3.668
251,9,7,86.4,29,54,29,0.002,29,7.451,3.723
252,9,8,86.4,29,53.9,29,0.003,29,7.565,3.763
253,9,9,86.2,29,53.9,29,0.004,29,7.664,3.803
254,9,10,86.1,29,53.8,28,0.005,29,7.699,3.827
255,9,11,86,29,53.8,29,0.006,29,7.77,3.964
256,9,12,85.8,29,53.7,29,0.007,29,7.801,4.021
257,9,13,85.6,29,53.7,29,0.007,29,7.925,4
258,9,14,85.5,28,53.6,28,0.007,29,7.936,4.01
259,9,15,85.3,29,53.5,29,0.007,29,8.044,4.002
260,9,16,85.2,29,53.4,29,0.009,29,8.182,4.02
261,9,17,85,29,53.3,29,0.009,29,8.284,4.063
262,9,18,84.7,29,53.3,29,0.009,29,8.23,4.096
263,9,19,84.5,28,53.1,28,0.009,29,8.238,4.109
264,9,20,84.2,29,53.1,29,0.009,29,8.225,4.119
265,9,21,83.9,29,52.9,28,0.01,29,8.295,4.148
266,9,22,83.7,29,52.8,29,0.01,29,8.32,4.162
267,9,23,83.5,29,52.7,29,0.01,29,8.289,4.176
268,9,24,83.4,29,52.6,29,0.01,29,8.242,4.207
269,9,25,83.4,29,52.5,29,0.01,29,8.237,4.23
270,9,26,83.2,29,52.4,29,0.011,29,8.343,4.227
271,9,27,83,29,52.2,28,0.013,29,8.431,4.262
272,9,28,82.8,29,52.1,28,0.013,29,8.41,4.263
273,9,29,82.7,29,51.9,29,0.014,29,8.398,4.322
274,9,30,82.6,29,51.7,29,0.021,29,8.472,4.352
275,10,1,82.5,30,51.6,30,0.02,30,8.54,4.388
276,10,2,82.4,29,51.4,30,0.02,30,8.526,4.453
277,10,3,82.2,29,51.2,30,0.021,30,8.517,4.451
278,10,4,82,29,51.1,29,0.021,30,8.526,4.467
279,10,5,81.8,29,50.9,29,0.021,30,8.459,4.472
280,10,6,81.6,30,50.8,30,0.023,30,8.46,4.464
281,10,7,81.3,30,50.7,30,0.024,30,8.461,4.475
282,10,8,81,29,50.5,29,0.023,30,8.462,4.506
283,10,9,80.8,30,50.3,30,0.021,30,8.456,4.52
284,10,10,80.6,30,50.2,30,0.021,30,8.461,4.462
285,10,11,80.3,30,50,30,0.022,30,8.473,4.441
286,10,12,80,30,49.8,30,0.026,30,8.427,4.475
287,10,13,79.7,30,49.6,30,0.028,30,8.428,4.521
288,10,14,79.4,30,49.4,30,0.03,30,8.401,4.575
289,10,15,79.1,30,49.2,30,0.031,30,8.331,4.616
290,10,16,78.6,30,49,30,0.034,30,8.169,4.684
291,10,17,78.2,29,48.8,30,0.035,30,8.192,4.75
292,10,18,77.9,30,48.6,30,0.036,30,8.171,4.871
293,10,19,77.6,29,48.4,29,0.036,29,8.099,4.884
294,10,20,77.4,30,48.2,30,0.036,30,8.045,4.896
295,10,21,77.1,30,48,30,0.036,29,8.009,4.947
296,10,22,76.9,30,47.8,30,0.036,30,8.035,4.967
297,10,23,76.5,29,47.7,29,0.036,30,7.949,4.985
298,10,24,76.1,29,47.5,29,0.037,30,7.835,5.03
299,10,25,75.7,29,47.3,29,0.042,30,7.743,5.119
300,10,26,75.3,28,47.1,28,0.043,30,7.681,5.157
301,10,27,74.9,29,47,29,0.046,30,7.674,5.187
302,10,28,74.5,29,46.8,29,0.05,30,7.666,5.237
303,10,29,74.1,30,46.7,30,0.044,30,7.625,5.268
304,10,30,73.7,29,46.5,29,0.048,30,7.599,5.329
305,10,31,73.4,29,46.3,29,0.053,30,7.614,5.361
306,11,1,73,28,46.2,28,0.052,29,7.614,5.397
307,11,2,72.6,28,46,28,0.054,29,7.562,5.424
308,11,3,72.2,29,45.9,29,0.059,29,7.59,5.45
309,11,4,71.9,28,45.7,28,0.061,29,7.562,5.493
310,11,5,71.6,29,45.4,29,0.063,29,7.532,5.549
311,11,6,71.2,29,45.2,29,0.065,29,7.436,5.563
312,11,7,70.8,29,45,29,0.067,29,7.423,5.6
313,11,8,70.3,29,44.8,29,0.068,29,7.357,5.686
314,11,9,69.9,29,44.6,29,0.069,29,7.243,5.823
315,11,10,69.5,29,44.4,29,0.069,29,7.148,5.902
316,11,11,69.1,28,44.1,28,0.071,29,7.004,5.938
317,11,12,68.7,28,43.8,28,0.074,29,6.912,5.92
318,11,13,68.4,29,43.6,29,0.073,29,6.849,5.96
319,11,14,68.1,29,43.3,28,0.074,28,6.859,5.931
320,11,15,67.9,28,43.1,28,0.077,29,6.799,5.937
321,11,16,67.6,29,42.9,29,0.079,29,6.778,5.94
322,11,17,67.2,29,42.6,28,0.08,29,6.764,5.97
323,11,18,66.8,29,42.4,29,0.084,29,6.71,6.035
324,11,19,66.5,29,42.2,29,0.087,29,6.641,6.022
325,11,20,66.1,28,41.9,28,0.088,28,6.521,6.06
326,11,21,65.8,29,41.8,29,0.091,29,6.531,6.125
327,11,22,65.5,28,41.6,28,0.091,29,6.558,6.155
328,11,23,65.2,29,41.5,29,0.091,29,6.519,6.157
329,11,24,65,29,41.3,29,0.091,29,6.442,6.161
330,11,25,64.8,29,41.1,29,0.092,29,6.38,6.256
331,11,26,64.6,29,41,29,0.093,29,6.287,6.31
332,11,27,64.3,29,40.9,29,0.099,29,6.169,6.342
333,11,28,64,29,40.7,29,0.1,29,6.071,6.372
334,11,29,63.8,29,40.5,29,0.099,29,5.98,6.403
335,11,30,63.5,29,40.4,29,0.102,29,5.864,6.479
336,12,1,63.2,30,40.2,30,0.103,30,5.782,6.498
337,12,2,62.9,30,39.9,30,0.102,30,5.702,6.506
338,12,3,62.6,30,39.7,30,0.101,30,5.643,6.508
339,12,4,62.4,29,39.6,29,0.101,29,5.58,6.512
340,12,5,62.1,27,39.4,29,0.102,30,5.563,6.539
341,12,6,61.9,29,39.2,29,0.106,30,5.488,6.549
342,12,7,61.7,29,39.1,29,0.11,30,5.482,6.529
343,12,8,61.4,29,38.9,29,0.114,30,5.524,6.509
344,12,9,61.2,28,38.7,28,0.112,30,5.524,6.533
345,12,10,61,29,38.5,29,0.111,30,5.514,6.56
346,12,11,60.9,29,38.4,28,0.109,30,5.497,6.639
347,12,12,60.7,30,38.2,30,0.109,30,5.451,6.654
348,12,13,60.6,30,38.1,29,0.107,29,5.407,6.747
349,12,14,60.5,30,38.1,29,0.108,29,5.441,6.757
350,12,15,60.3,30,38.1,30,0.112,30,5.454,6.766
351,12,16,60.1,29,38.1,30,0.121,30,5.481,6.838
352,12,17,59.9,30,38.1,30,0.12,30,5.468,6.887
353,12,18,59.8,30,38.1,30,0.125,29,5.435,6.966
354,12,19,59.7,30,38.1,30,0.131,30,5.455,7.019
355,12,20,59.5,30,38.1,30,0.132,30,5.439,6.994
356,12,21,59.4,30,38,30,0.134,30,5.442,7
357,12,22,59.3,30,37.9,30,0.142,30,5.459,7.013
358,12,23,59.2,30,37.9,30,0.143,30,5.437,7.008
359,12,24,59.1,28,37.8,30,0.144,30,5.399,6.907
360,12,25,59,30,37.8,30,0.14,30,5.379,6.869
361,12,26,58.9,30,37.7,30,0.135,30,5.42,6.864
362,12,27,58.9,29,37.8,30,0.136,30,5.431,6.845
363,12,28,58.9,29,37.7,29,0.135,29,5.422,6.815
364,12,29,58.9,29,37.7,30,0.133,30,5.476,6.795
365,12,30,59,29,37.7,30,0.135,30,5.499,6.848
366,12,31,59,27,37.8,29,0.133,30,5.536,6.936
