Date,Open,High,Low,Close,Volume
"Mar 11, 2021",58.8,59.48,58.22,58.95,"17,293,800"
"Mar 10, 2021",57.21,58.9,56.27,57.68,"27,997,000"
"Mar 9, 2021",56,56.15,54.72,55.25,"17,192,900"
"Mar 8, 2021",55.5,56.45,52.89,53.2,"19,912,100"
"Mar 5, 2021",54.28,55.83,50.81,55.54,"31,576,200"
"Mar 4, 2021",55.75,57.16,51.61,53.07,"27,409,600"
"Mar 3, 2021",55.93,57.8,54.65,56.11,"28,485,400"
"Mar 2, 2021",55.54,55.62,54.19,54.65,"15,199,500"
"Mar 1, 2021",53.67,54.76,53.3,54.4,"18,481,100"
"Feb 26, 2021",52.07,52.75,50.61,51.75,"16,349,800"
"Feb 25, 2021",54.58,54.6,50.86,51.45,"27,049,100"
"Feb 24, 2021",54.95,55.15,53.66,53.91,"24,627,000"
"Feb 23, 2021",53.5,56.37,51.89,56,"23,947,500"
"Feb 22, 2021",57.76,58.1,54.82,55.31,"25,565,400"
"Feb 19, 2021",58.36,60.46,58.11,58.39,"28,097,000"
"Feb 18, 2021",60,60.29,58.23,59,"15,135,600"
"Feb 17, 2021",60.33,60.95,58.95,60.81,"12,670,000"
"Feb 16, 2021",61.02,61.31,59.84,60.52,"15,413,100"
"Feb 12, 2021",60.12,60.93,59.31,60.63,"14,607,800"
"Feb 11, 2021",63.25,64.05,60.4,60.71,"41,363,400"
"Feb 10, 2021",62,63.5,60.8,63.18,"36,972,900"
"Feb 9, 2021",58.91,61.06,58.62,59.61,"23,510,700"
"Feb 8, 2021",59.7,60.11,58.69,59.29,"18,403,700"
"Feb 5, 2021",58.16,58.71,57.37,58.58,"15,729,200"
"Feb 4, 2021",56.45,57.85,56.11,57.85,"13,841,600"
"Feb 3, 2021",57.87,58.13,56.74,57.12,"13,519,000"
"Feb 2, 2021",55.11,58.03,54.89,56.46,"30,286,800"
"Feb 1, 2021",52.12,52.9,51.35,52.76,"15,570,900"
"Jan 29, 2021",50.63,51.49,49.63,50.93,"18,743,200"
"Jan 28, 2021",50.12,52.52,49.88,51.58,"28,114,700"
"Jan 27, 2021",49.97,50.86,47.15,48.11,"33,283,400"
"Jan 26, 2021",54.62,55.52,51.53,51.92,"25,677,000"
"Jan 25, 2021",54.5,54.52,49.65,54.29,"40,890,100"
"Jan 22, 2021",55.25,55.47,54.01,54.31,"19,570,500"
"Jan 21, 2021",56.57,57,55.31,55.79,"13,432,000"
"Jan 20, 2021",57,57.98,55.47,56.38,"16,904,300"
"Jan 19, 2021",56.39,56.84,55,56.3,"16,953,700"
"Jan 15, 2021",57.49,57.9,55,55.52,"23,708,800"
"Jan 14, 2021",60,60.03,56.7,56.91,"26,561,000"
"Jan 13, 2021",58.54,59.88,57.53,59.4,"24,178,500"
"Jan 12, 2021",55.5,59.39,55,58.54,"52,128,200"
"Jan 11, 2021",53.11,55,52.99,54.59,"23,213,800"
"Jan 8, 2021",54.4,54.79,52.58,53.28,"37,999,400"
"Jan 7, 2021",53.37,56.25,53.2,56.13,"23,737,500"
"Jan 6, 2021",53.31,54.07,52,52.48,"17,738,100"
"Jan 5, 2021",51,54.19,50.76,54.01,"21,403,200"
"Jan 4, 2021",52.22,52.32,49.63,51.14,"17,291,800"
"Dec 31, 2020",53.28,53.28,51,51,"13,282,800"
"Dec 30, 2020",52.72,53.85,52.22,53.15,"9,518,600"
"Dec 29, 2020",52.33,52.99,51.47,52.27,"10,140,600"
"Dec 28, 2020",53.02,53.13,51.56,51.97,"12,059,000"
"Dec 24, 2020",53.6,53.63,52.29,52.88,"6,316,800"
"Dec 23, 2020",53.8,54.09,52.99,53.71,"12,671,100"
"Dec 22, 2020",52.11,54.36,51.92,53.78,"23,871,800"
"Dec 21, 2020",49,52.35,48.79,51.8,"23,562,900"
"Dec 18, 2020",50.81,50.95,49.52,50.62,"24,355,200"
"Dec 17, 2020",50.59,51.3,50.17,50.63,"19,688,300"
"Dec 16, 2020",51.18,51.68,50.29,50.49,"19,577,800"
"Dec 15, 2020",52.12,52.83,50.87,51,"17,504,700"
"Dec 14, 2020",53.27,53.44,51.24,51.46,"19,048,500"
"Dec 11, 2020",54.47,55.03,52.33,52.63,"16,817,900"
"Dec 10, 2020",52.33,54.62,51.3,54.35,"20,207,700"
"Dec 9, 2020",53.98,56.02,53.06,53.79,"46,777,900"
"Dec 8, 2020",52.4,54.22,52.35,53.01,"26,167,300"
"Dec 7, 2020",54.59,54.87,53.65,53.8,"13,764,400"
"Dec 4, 2020",52.71,54.86,52.71,54.86,"22,207,900"
"Dec 3, 2020",53.3,53.49,52.12,52.52,"13,122,400"
"Dec 2, 2020",49.26,53.45,48.53,53.09,"30,381,500"
"Dec 1, 2020",50,51.41,49.07,49.63,"20,605,500"
"Nov 30, 2020",50.22,51.01,48.53,49.66,"17,221,500"
"Nov 27, 2020",50.93,51.19,50.2,50.72,"8,339,200"
"Nov 25, 2020",51.27,51.45,49.92,50.8,"11,641,600"
"Nov 24, 2020",50.62,52.15,50.48,51.26,"16,216,200"
"Nov 23, 2020",48.66,50.88,48.51,50.04,"17,147,100"
"Nov 20, 2020",49.98,50.75,48.27,48.43,"17,330,400"
"Nov 19, 2020",49.1,49.91,48.65,49.26,"13,480,300"
"Nov 18, 2020",48.77,49.95,48.33,49.11,"17,783,500"
"Nov 17, 2020",48.72,49.62,48.5,48.89,"16,638,300"
"Nov 16, 2020",48.74,50.09,48.48,49.21,"29,301,700"
"Nov 13, 2020",47.11,47.79,45.93,47.61,"15,552,400"
"Nov 12, 2020",45.39,47.47,45.05,46.4,"16,251,600"
"Nov 11, 2020",46.72,47.52,45.91,46.23,"19,213,700"
"Nov 10, 2020",46.74,49.36,46.04,47,"33,079,800"
"Nov 9, 2020",48.01,49.62,47.3,48.18,"61,632,300"
"Nov 6, 2020",42.09,45.38,41.62,44.87,"57,670,700"
"Nov 5, 2020",40.33,42.05,40.01,41.96,"34,177,600"
"Nov 4, 2020",40.66,42.15,39,40.99,"101,818,200"
"Nov 3, 2020",35.27,36.15,35.15,35.77,"16,208,800"
"Nov 2, 2020",34.15,35.05,34.06,34.81,"18,350,500"
"Oct 30, 2020",33.91,34.39,33.15,33.41,"13,506,200"
"Oct 29, 2020",33.71,34.94,33.33,34.06,"13,735,300"
"Oct 28, 2020",33.62,33.66,32.9,33.65,"15,787,900"
"Oct 27, 2020",35.51,35.7,34.02,34.16,"13,692,100"
"Oct 26, 2020",36.5,36.74,35.12,35.49,"12,511,700"
"Oct 23, 2020",36.5,36.99,35.92,36.75,"15,960,600"
"Oct 22, 2020",35.42,36.89,34.92,36.7,"14,243,600"
"Oct 21, 2020",36.25,36.25,34.88,35.2,"19,058,700"
"Oct 20, 2020",34.53,36.76,34.53,36.31,"29,820,700"
"Oct 19, 2020",34.16,34.59,34,34.22,"19,278,600"
"Oct 16, 2020",34.78,34.8,33.61,33.72,"14,899,700"
"Oct 15, 2020",34.68,34.81,34.02,34.26,"15,443,800"
"Oct 14, 2020",35.69,36.09,35.08,35.11,"15,397,200"
"Oct 13, 2020",36.22,36.23,35.02,35.56,"15,463,100"
"Oct 12, 2020",37.56,37.56,36.17,36.26,"16,569,400"
"Oct 9, 2020",37.91,38.35,37.19,37.27,"13,172,000"
"Oct 8, 2020",37,37.83,36.96,37.34,"12,212,400"
"Oct 7, 2020",36.59,37.11,36.37,36.78,"13,782,100"
"Oct 6, 2020",37.17,37.37,36.04,36.26,"13,074,700"
"Oct 5, 2020",37.7,38,36.88,37.14,"13,093,100"
"Oct 2, 2020",36,37.99,35.94,37.72,"20,123,400"
"Oct 1, 2020",36.86,37.83,36.58,37.14,"19,187,500"
"Sep 30, 2020",35.28,36.5,35.28,36.48,"21,386,300"
"Sep 29, 2020",35.56,35.65,34.6,35.43,"16,488,700"
"Sep 28, 2020",35.8,36.63,35.26,35.56,"22,878,400"
"Sep 25, 2020",33.2,34.5,33.2,34.46,"10,736,300"
"Sep 24, 2020",33.66,34,32.89,33.35,"16,404,100"
"Sep 23, 2020",34.45,34.81,33.4,33.55,"15,796,900"
"Sep 22, 2020",36.53,36.55,34.1,34.4,"28,242,800"
"Sep 21, 2020",35.86,36.58,35.12,36.49,"19,100,800"
"Sep 18, 2020",37.15,37.56,36.39,37.12,"68,428,600"
"Sep 17, 2020",36.68,37.44,36.14,37.06,"23,534,800"
"Sep 16, 2020",37.39,38.52,37.39,37.66,"21,787,100"
"Sep 15, 2020",37.95,38.48,37.27,37.47,"23,532,600"
"Sep 14, 2020",37.1,38,37.08,37.95,"28,016,000"
"Sep 11, 2020",36.3,37.15,36.25,36.98,"27,130,900"
"Sep 10, 2020",35.2,36.78,35.19,35.98,"35,468,300"
"Sep 9, 2020",34.11,35.5,34.11,35.01,"22,803,500"
"Sep 8, 2020",32.36,35.1,32.16,34.32,"33,683,500"
"Sep 4, 2020",33.33,33.65,31.55,33.24,"17,480,600"
"Sep 3, 2020",34.08,34.74,32.95,33.41,"17,288,800"
"Sep 2, 2020",34.21,34.51,33.29,34.37,"16,552,700"
"Sep 1, 2020",33.45,34.51,33.15,34.3,"16,013,900"
"Aug 31, 2020",33.62,33.92,33.14,33.63,"14,980,600"
"Aug 28, 2020",33,33.94,32.82,33.8,"17,825,600"
"Aug 27, 2020",32.4,33.07,32.27,32.8,"21,306,500"
"Aug 26, 2020",31.01,32.71,30.95,32.3,"20,599,800"
"Aug 25, 2020",31.04,31.19,30.6,31.19,"10,056,800"
"Aug 24, 2020",30.97,31.3,30.37,31.04,"17,406,200"
"Aug 21, 2020",31.39,31.82,30.71,30.83,"20,217,000"
"Aug 20, 2020",29.13,31.7,28.48,31.41,"56,663,300"
"Aug 19, 2020",30.15,30.35,29.39,29.42,"14,050,300"
"Aug 18, 2020",29.5,30.46,29.41,30.08,"29,398,200"
"Aug 17, 2020",30.05,30.12,29.14,29.48,"18,544,700"
"Aug 14, 2020",30.4,30.49,29.82,29.99,"17,631,600"
"Aug 13, 2020",30.52,31.33,30.32,30.46,"21,976,800"
"Aug 12, 2020",31.46,32.22,30.69,30.84,"23,375,900"
"Aug 11, 2020",31.66,32.21,30.65,31.21,"31,569,900"
"Aug 10, 2020",33.04,33.18,31.51,32.27,"21,347,600"
"Aug 7, 2020",33.09,33.7,32.45,32.9,"39,071,200"
"Aug 6, 2020",33.27,34.79,33.21,34.71,"38,601,500"
"Aug 5, 2020",33.1,33.32,32.5,33.2,"16,987,800"
"Aug 4, 2020",31.17,32.85,31.17,32.68,"21,958,100"
"Aug 3, 2020",30.24,31.3,30.06,31.19,"17,078,900"
"Jul 31, 2020",30.4,30.42,29.78,30.26,"16,346,800"
"Jul 30, 2020",30.65,30.68,29.97,30.24,"13,062,900"
"Jul 29, 2020",30.92,31.26,30.77,31.02,"8,215,900"
"Jul 28, 2020",30.79,31.24,30.35,30.81,"12,977,100"
"Jul 27, 2020",31.21,31.6,30.75,30.99,"10,182,300"
"Jul 24, 2020",31.74,31.8,30.47,31.18,"16,896,100"
"Jul 23, 2020",32.33,33.02,31.98,32.17,"12,749,800"
"Jul 22, 2020",32.44,32.88,32.33,32.66,"12,128,400"
"Jul 21, 2020",34.16,34.23,32.53,32.55,"16,725,100"
"Jul 20, 2020",32.48,33.92,32.35,33.66,"16,213,600"
"Jul 17, 2020",32.58,32.82,31.85,32.55,"13,658,700"
"Jul 16, 2020",32.05,32.59,31.55,32.35,"11,090,800"
